plan_id,plan,jugadores,nivel,duracion_sesion_min,dia,sesion,orden,tipo,ejercicio_id,ejercicio,minutos,descripcion
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,1,Sesión completa A · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,2,ejercicio,IND-13,V con la planta,5,V con la planta
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,3,ejercicio,IND-02,Ocho entre conos,5,Ocho entre conos
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,4,ejercicio,IND-14,Recorrido en L,5,Recorrido en L
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,5,ejercicio,IND-17,Pared a un toque,5,Pared a un toque
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,6,ejercicio,IND-10,Primer toque por colores,5,Primer toque por colores
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,7,ejercicio,IND-21,Regate en zigzag agresivo,5,Regate en zigzag agresivo
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,8,ejercicio,IND-22,Protección 360° y salida,5,Protección 360° y salida
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,9,ejercicio,IND-23,Decisión por colores,5,Decisión por colores
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,10,ejercicio,IND-20,Finalización con ambos pies,5,Finalización con ambos pies
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,2,Sesión completa B · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,3,ejercicio,IND-06,Rombo técnico,5,Rombo técnico
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,4,ejercicio,IND-19,Giros explosivos 4x4,5,Giros explosivos 4x4
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,5,ejercicio,IND-04,Puertas de precisión,5,Puertas de precisión
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,6,ejercicio,IND-05,Control orientado 180°,5,Control orientado 180°
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,7,ejercicio,IND-18,Doble finta corporal,5,Doble finta corporal
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,8,ejercicio,IND-11,Protección y giro,5,Protección y giro
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,9,ejercicio,IND-15,Caza de puertas,5,Caza de puertas
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,10,ejercicio,IND-24,Doble recorte y disparo,5,Doble recorte y disparo
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INICIACIÓN-60,Individual · iniciación · 60 min,1,iniciación,60,3,Sesión completa C · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,3,ejercicio,IND-06,Rombo técnico,5,Rombo técnico
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,4,ejercicio,IND-03,Cuadrado de giros,5,Cuadrado de giros
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,5,ejercicio,IND-04,Puertas de precisión,5,Puertas de precisión
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,6,ejercicio,IND-05,Control orientado 180°,5,Control orientado 180°
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,7,ejercicio,IND-18,Doble finta corporal,5,Doble finta corporal
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,8,ejercicio,IND-11,Protección y giro,5,Protección y giro
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,9,ejercicio,IND-15,Caza de puertas,5,Caza de puertas
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,10,ejercicio,IND-08,Finalización tras recorte,5,Finalización tras recorte
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,1,Sesión completa A · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,2,ejercicio,IND-13,V con la planta,5,V con la planta
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,3,ejercicio,IND-09,Y de cambios de ritmo,5,Y de cambios de ritmo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,4,ejercicio,IND-14,Recorrido en L,5,Recorrido en L
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,5,ejercicio,IND-17,Pared a un toque,5,Pared a un toque
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,6,ejercicio,IND-10,Primer toque por colores,5,Primer toque por colores
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,7,ejercicio,IND-21,Regate en zigzag agresivo,5,Regate en zigzag agresivo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,8,ejercicio,IND-22,Protección 360° y salida,5,Protección 360° y salida
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,9,ejercicio,IND-23,Decisión por colores,5,Decisión por colores
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,10,ejercicio,IND-20,Finalización con ambos pies,5,Finalización con ambos pies
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,2,Sesión completa B · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,3,ejercicio,IND-16,Circuito de pierna débil,5,Circuito de pierna débil
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,4,ejercicio,IND-19,Giros explosivos 4x4,5,Giros explosivos 4x4
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,5,ejercicio,IND-04,Puertas de precisión,5,Puertas de precisión
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,6,ejercicio,IND-05,Control orientado 180°,5,Control orientado 180°
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,7,ejercicio,IND-18,Doble finta corporal,5,Doble finta corporal
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,8,ejercicio,IND-11,Protección y giro,5,Protección y giro
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,9,ejercicio,IND-15,Caza de puertas,5,Caza de puertas
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,10,ejercicio,IND-24,Doble recorte y disparo,5,Doble recorte y disparo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-INTERMEDIO-60,Individual · intermedio · 60 min,1,intermedio,60,3,Sesión completa C · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,3,ejercicio,IND-06,Rombo técnico,5,Rombo técnico
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,4,ejercicio,IND-19,Giros explosivos 4x4,5,Giros explosivos 4x4
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,5,ejercicio,IND-17,Pared a un toque,5,Pared a un toque
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,6,ejercicio,IND-10,Primer toque por colores,5,Primer toque por colores
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,7,ejercicio,IND-21,Regate en zigzag agresivo,5,Regate en zigzag agresivo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,8,ejercicio,IND-22,Protección 360° y salida,5,Protección 360° y salida
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,9,ejercicio,IND-23,Decisión por colores,5,Decisión por colores
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,10,ejercicio,IND-20,Finalización con ambos pies,5,Finalización con ambos pies
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,1,Sesión completa A · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,2,ejercicio,IND-13,V con la planta,5,V con la planta
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,3,ejercicio,IND-09,Y de cambios de ritmo,5,Y de cambios de ritmo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,4,ejercicio,IND-03,Cuadrado de giros,5,Cuadrado de giros
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,5,ejercicio,IND-04,Puertas de precisión,5,Puertas de precisión
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,6,ejercicio,IND-05,Control orientado 180°,5,Control orientado 180°
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,7,ejercicio,IND-18,Doble finta corporal,5,Doble finta corporal
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,8,ejercicio,IND-11,Protección y giro,5,Protección y giro
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,9,ejercicio,IND-15,Caza de puertas,5,Caza de puertas
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,10,ejercicio,IND-24,Doble recorte y disparo,5,Doble recorte y disparo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,2,Sesión completa B · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,2,ejercicio,IND-07,Escalera de dominio,5,Escalera de dominio
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,3,ejercicio,IND-16,Circuito de pierna débil,5,Circuito de pierna débil
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,4,ejercicio,IND-14,Recorrido en L,5,Recorrido en L
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,5,ejercicio,IND-17,Pared a un toque,5,Pared a un toque
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,6,ejercicio,IND-10,Primer toque por colores,5,Primer toque por colores
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,7,ejercicio,IND-21,Regate en zigzag agresivo,5,Regate en zigzag agresivo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,8,ejercicio,IND-22,Protección 360° y salida,5,Protección 360° y salida
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,9,ejercicio,IND-23,Decisión por colores,5,Decisión por colores
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,10,ejercicio,IND-25,Recorte desde banda y tiro,5,Recorte desde banda y tiro
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,11,ejercicio,IND-12,Circuito técnico completo,5,Circuito técnico completo
SOLO-AVANZADO-60,Individual · avanzado · 60 min,1,avanzado,60,3,Sesión completa C · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,2,ejercicio,PAR-05,Espejo con balón,5,Espejo con balón
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,3,ejercicio,PAR-01,Pase y sigue triangular,5,Pase y sigue triangular
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,4,ejercicio,PAR-04,Control cruzado,5,Control cruzado
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,5,ejercicio,PAR-06,Pase entre puertas,5,Pase entre puertas
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,6,ejercicio,PAR-07,Rondo 1 contra 1 con apoyo,5,Rondo 1 contra 1 con apoyo
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,7,ejercicio,PAR-18,Pase al espacio,5,Pase al espacio
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,8,ejercicio,PAR-10,Reacción por dos puertas,5,Reacción por dos puertas
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,9,ejercicio,PAR-09,Finalización con asistencia,5,Finalización con asistencia
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,10,ejercicio,PAR-12,Combinación y tiro,5,Combinación y tiro
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,11,ejercicio,PAR-21,Conducción en espejo con cambios,5,Conducción en espejo con cambios
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,1,Sesión completa A · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,2,ejercicio,PAR-21,Conducción en espejo con cambios,5,Conducción en espejo con cambios
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,3,ejercicio,PAR-02,Pases a dos toques,5,Pases a dos toques
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,4,ejercicio,PAR-15,Control aéreo y apoyo,5,Control aéreo y apoyo
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,5,ejercicio,PAR-14,Reloj de pases,5,Reloj de pases
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,6,ejercicio,PAR-16,Protección con oposición,5,Protección con oposición
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,7,ejercicio,PAR-22,"Ruptura, apoyo y descarga",5,"Ruptura, apoyo y descarga"
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,8,ejercicio,PAR-23,Transición y decisión,5,Transición y decisión
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,9,ejercicio,PAR-19,"Pared, cruce y finalización",5,"Pared, cruce y finalización"
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,10,ejercicio,PAR-12,Combinación y tiro,5,Combinación y tiro
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,11,ejercicio,PAR-05,Espejo con balón,5,Espejo con balón
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,2,Sesión completa B · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,2,ejercicio,PAR-05,Espejo con balón,5,Espejo con balón
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,3,ejercicio,PAR-03,Pared y devolución,5,Pared y devolución
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,4,ejercicio,PAR-20,Primer toque alterno,5,Primer toque alterno
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,5,ejercicio,PAR-17,Desafío de puertas cronometrado,5,Desafío de puertas cronometrado
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,6,ejercicio,PAR-07,Rondo 1 contra 1 con apoyo,5,Rondo 1 contra 1 con apoyo
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,7,ejercicio,PAR-18,Pase al espacio,5,Pase al espacio
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,8,ejercicio,PAR-10,Reacción por dos puertas,5,Reacción por dos puertas
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,9,ejercicio,PAR-24,Pared y finalización de primeras,5,Pared y finalización de primeras
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,10,ejercicio,PAR-12,Combinación y tiro,5,Combinación y tiro
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,11,ejercicio,PAR-21,Conducción en espejo con cambios,5,Conducción en espejo con cambios
PAREJA-INICIACIÓN-60,Pareja · iniciación · 60 min,2,iniciación,60,3,Sesión completa C · trabaja todas las áreas,12,vuelta_calma,,,5,"Toques suaves, estiramientos y respiración."
PAREJA-INTERMEDIO-60,Pareja · intermedio · 60 min,2,intermedio,60,1,Sesión completa A · trabaja todas las áreas,1,calentamiento,,,5,"Movilidad, activación y contactos libres con balón, con ambos perfiles."
