id,nombre,jugadores,objetivo,nivel,duracion_min,material,instrucciones,archivo_svg,archivo_gif
PAR-07,Rondo 1 contra 1 con apoyo,2,protección,avanzado,10,"4 conos, 1 balón",El poseedor conserva dentro del cuadrado; el defensor presiona de forma progresiva. Cambiad al robo.,svg/par-07-rondo-1-contra-1-con-apoyo.svg,gif/par-07-rondo-1-contra-1-con-apoyo.gif
PAR-08,Desmarque en diagonal,2,pase,intermedio,10,"5 conos, 1 balón",A pasa a B y se desmarca en diagonal para recibir de cara al objetivo.,svg/par-08-desmarque-en-diagonal.svg,gif/par-08-desmarque-en-diagonal.gif
PAR-09,Finalización con asistencia,2,tiro,intermedio,12,"5 conos, balones, portería",B conduce y asiste atrás; A llega desde segunda línea y finaliza de primeras.,svg/par-09-finalizacion-con-asistencia.svg,gif/par-09-finalizacion-con-asistencia.gif
PAR-10,Reacción por dos puertas,2,reacción,avanzado,10,"6 conos, 1 balón",B señala o nombra una puerta al pasar. A orienta el control y sale por esa puerta.,svg/par-10-reaccion-por-dos-puertas.svg,gif/par-10-reaccion-por-dos-puertas.gif
PAR-11,Pases en movimiento paralelo,2,pase,intermedio,10,"8 conos, 1 balón",Avanzad por carriles paralelos pasándoos el balón al espacio. Volved con el otro pie.,svg/par-11-pases-en-movimiento-paralelo.svg,gif/par-11-pases-en-movimiento-paralelo.gif
PAR-12,Combinación y tiro,2,mixto,avanzado,15,"6 conos, balones, portería","A juega con B, realiza pared, B filtra al espacio y A finaliza. Alternad posiciones.",svg/par-12-combinacion-y-tiro.svg,gif/par-12-combinacion-y-tiro.gif
PAR-13,Pase y doblaje,2,pase,intermedio,10,"6 conos, 1 balón",A pasa a B y le dobla por fuera. B orienta el control y devuelve el balón al espacio.,svg/par-13-pase-y-doblaje.svg,gif/par-13-pase-y-doblaje.gif
PAR-14,Reloj de pases,2,precisión,intermedio,10,"8 conos, 1 balón",A permanece en el centro y B rota por cuatro posiciones. Completad un pase en cada punto.,svg/par-14-reloj-de-pases.svg,gif/par-14-reloj-de-pases.gif
PAR-15,Control aéreo y apoyo,2,control,intermedio,10,"4 conos, 1 balón","B envía un balón elevado. A amortigua, conduce dos toques y devuelve por el suelo.",svg/par-15-control-aereo-y-apoyo.svg,gif/par-15-control-aereo-y-apoyo.gif
PAR-16,Protección con oposición,2,protección,avanzado,10,"4 conos, 1 balón",A protege durante cinco segundos mientras B presiona al 60 %. A gira y sale por una puerta.,svg/par-16-proteccion-con-oposicion.svg,gif/par-16-proteccion-con-oposicion.gif
PAR-17,Desafío de puertas cronometrado,2,precisión,avanzado,12,"10 conos, 1 balón",Sumad un punto por cada pase que atraviese una puerta distinta. Cambiad de posición continuamente.,svg/par-17-desafio-de-puertas-cronometrado.svg,gif/par-17-desafio-de-puertas-cronometrado.gif
PAR-18,Pase al espacio,2,desmarque,intermedio,10,"6 conos, 1 balón","A fija el balón, B rompe entre conos y A envía el pase por delante de su carrera.",svg/par-18-pase-al-espacio.svg,gif/par-18-pase-al-espacio.gif
PAR-19,"Pared, cruce y finalización",2,tiro,avanzado,15,"6 conos, balones, portería","A juega una pared con B, ambos cruzan sus carreras y A finaliza el pase de devolución.",svg/par-19-pared-cruce-y-finalizacion.svg,gif/par-19-pared-cruce-y-finalizacion.gif
PAR-20,Primer toque alterno,2,control,avanzado,10,"8 conos, 1 balón",Cada receptor orienta el primer toque hacia una puerta lateral distinta antes de devolver el pase.,svg/par-20-primer-toque-alterno.svg,gif/par-20-primer-toque-alterno.gif
IND-21,Regate en zigzag agresivo,1,regate,avanzado,12,"5 conos, 1 balón","Ataca cada cono con una finta de cuerpo y recorta con el exterior al lado contrario, saliendo a máxima velocidad.",svg/ind-21-regate-en-zigzag-agresivo.svg,gif/ind-21-regate-en-zigzag-agresivo.gif
IND-22,Protección 360° y salida,1,protección,avanzado,10,"3 conos, 1 balón","Protege el balón girando alrededor del cono central, cambia de perfil y sal en conducción hacia una salida distinta cada vez.",svg/ind-22-proteccion-360-y-salida.svg,gif/ind-22-proteccion-360-y-salida.gif
IND-23,Decisión por colores,1,reacción,avanzado,10,"4 conos de colores, 1 balón","Conduce al centro, levanta la cabeza y sal hacia el color indicado, orientando el control antes de acelerar.",svg/ind-23-decision-por-colores.svg,gif/ind-23-decision-por-colores.gif
PAR-21,Conducción en espejo con cambios,2,conducción,avanzado,10,"8 conos, 2 balones",Uno marca cambios de dirección y de ritmo dentro de su zona y el otro los replica al instante. Cambiad de líder cada 40 segundos.,svg/par-21-conduccion-en-espejo-con-cambios.svg,gif/par-21-conduccion-en-espejo-con-cambios.gif
PAR-22,"Ruptura, apoyo y descarga",2,desmarque,avanzado,12,"4 conos, 1 balón","B rompe al espacio y recibe de cara; descarga al apoyo de A, que llega desde atrás para el pase final.",svg/par-22-ruptura-apoyo-y-descarga.svg,gif/par-22-ruptura-apoyo-y-descarga.gif
PAR-23,Transición y decisión,2,reacción,avanzado,10,"6 conos, 1 balón",A pasa y B decide según la puerta que se abra: devuelve de primeras o gira y sale por el lado contrario.,svg/par-23-transicion-y-decision.svg,gif/par-23-transicion-y-decision.gif
IND-24,Doble recorte y disparo,1,tiro,avanzado,12,"4 conos, balones, portería","Conduce en velocidad, encadena dos recortes en los conos y finaliza con un disparo potente al palo largo.",svg/ind-24-doble-recorte-y-disparo.svg,gif/ind-24-doble-recorte-y-disparo.gif
IND-25,Recorte desde banda y tiro,1,tiro,avanzado,12,"3 conos, balones, portería","Ataca desde la banda, recorta hacia el centro dejando atrás el cono y finaliza con la pierna hábil al palo corto.",svg/ind-25-recorte-desde-banda-y-tiro.svg,gif/ind-25-recorte-desde-banda-y-tiro.gif
IND-26,Vaselina tras conducción,1,tiro,avanzado,10,"3 conos, balones, portería","Conduce en campo abierto, levanta la cabeza para leer al portero y finaliza con una vaselina ajustada.",svg/ind-26-vaselina-tras-conduccion.svg,gif/ind-26-vaselina-tras-conduccion.gif
PAR-24,Pared y finalización de primeras,2,tiro,avanzado,14,"4 conos, balones, portería","A juega una pared con el apoyo de B, ataca el hueco y finaliza de primeras el pase de devolución.",svg/par-24-pared-y-finalizacion-de-primeras.svg,gif/par-24-pared-y-finalizacion-de-primeras.gif
PAR-25,Centro raso y remate,2,tiro,avanzado,12,"4 conos, balones, portería",A conduce por banda y pone un centro raso al primer palo; B llega lanzado y remata de primeras.,svg/par-25-centro-raso-y-remate.svg,gif/par-25-centro-raso-y-remate.gif
PAR-26,Dos contra portero,2,tiro,avanzado,14,"3 conos, balones, portería","Ataque en superioridad: conducción, descarga al compañero en el momento justo y definición cruzada.",svg/par-26-dos-contra-portero.svg,gif/par-26-dos-contra-portero.gif
